Time,valveStuck.Kv,valveStuck.cmd,valveStuck.dp,valveStuck.m_flow,valveStuck.leakPosition,valveStuck.stuckPosition,valveStuck.limiter.y
0.0,1.8,1.0,9613.2831941467957,-0.029657790207497016,0.0,1.0,1.0
5.0,1.8,1.0,39745.377476372742,0.26240704081227528,0.0,1.0,1.0
10.0,1.8,1.0,53828.594050583757,0.37789654327006572,0.0,1.0,1.0
15.0,1.8,1.0,98762.128687131946,0.48426674967204997,0.0,1.0,1.0
20.0,1.8,1.0,126181.86306429713,0.5358001195180101,0.0,1.0,1.0
25.0,1.8,1.0,159190.72714528299,0.62895772366376523,0.0,1.0,1.0
30.0,1.8,1.0,190700.55551967837,0.69679187031473333,0.0,1.0,1.0
35.0,1.8,1.0,211525.59014550058,0.70730649753416741,0.0,1.0,1.0
40.0,1.8,1.0,251017.27991378153,0.80218283036726212,0.0,1.0,1.0
45.0,1.8,1.0,273265.46099798632,0.82964777902064923,0.0,1.0,1.0
50.0,1.8,1.0,299324.8638791191,0.83250239037535567,0.0,1.0,1.0
55.0,1.8,1.0,305417.7917459085,0.87051439186667834,0.0,1.0,1.0
60.0,1.8,1.0,309337.5186021633,0.85905680246072225,0.0,1.0,1.0
65.0,1.8,1.0,305138.35473439109,0.85455012992634249,0.0,1.0,1.0
70.0,1.8,1.0,309048.98487226292,0.85258600499011628,0.0,1.0,1.0
75.0,1.8,0.84999999999999998,294779.39358940272,0.66237217068878373,0.0,1.0,0.84999999999999998
80.0,1.8,0.69999999999999996,303915.34009538672,0.46759685886488811,0.20000000000000001,1.0,0.69999999999999996
85.0,1.8,0.55000000000000004,298760.84171332809,0.30537992407159809,0.20000000000000001,1.0,0.55000000000000004
90.0,1.8,0.40000000000000002,310474.73911545967,0.18468215603703267,0.20000000000000001,1.0,0.40000000000000002
95.0,1.8,0.25,305984.07869157178,0.032350966696656332,0.20000000000000001,1.0,0.25
100.0,1.8,0.10000000000000001,310091.12657613162,0.032420263587460779,0.20000000000000001,0.59999999999999998,0.20000000000000001
105.0,1.8,0.11,309309.20467200695,0.018397121871033918,0.20000000000000001,0.59999999999999998,0.20000000000000001
110.0,1.8,0.12,297166.08885047131,-1.0543474804752817e-06,0.20000000000000001,0.59999999999999998,0.20000000000000001
115.0,1.8,0.13,311748.12078323378,0.042452987461032619,0.20000000000000001,0.59999999999999998,0.20000000000000001
120.0,1.8,0.14000000000000001,313242.92491416231,0.04013135229216825,0.20000000000000001,0.59999999999999998,0.20000000000000001
125.0,1.8,0.14999999999999999,312291.41999652551,0.059899652990073909,0.20000000000000001,0.59999999999999998,0.20000000000000001
130.0,1.8,0.16,302831.87307314645,0.064485540228096938,0.20000000000000001,0.59999999999999998,0.20000000000000001
135.0,1.8,0.17000000000000001,295276.65795947157,0.041022181414835802,0.20000000000000001,0.59999999999999998,0.20000000000000001
140.0,1.8,0.17999999999999999,303267.24331008544,0.043877953927204914,0.20000000000000001,0.59999999999999998,0.20000000000000001
145.0,1.8,0.19,309887.85247329256,0.015009291371846031,0.20000000000000001,0.59999999999999998,0.20000000000000001
150.0,1.8,0.20000000000000001,312255.26839935401,0.041539148707631646,0.20000000000000001,0.59999999999999998,0.20000000000000001
155.0,1.8,0.29999999999999999,296421.22002850135,0.039676046025348952,0.20000000000000001,0.59999999999999998,0.29999999999999999
160.0,1.8,0.40000000000000002,303936.56667999562,0.14307711160315181,0.20000000000000001,0.59999999999999998,0.40000000000000002
165.0,1.8,0.5,298028.38025700126,0.17487698002420449,0.20000000000000001,0.59999999999999998,0.5
170.0,1.8,0.59999999999999998,297402.02862252021,0.30420353355192281,0.20000000000000001,0.59999999999999998,0.59999999999999998
175.0,1.8,0.69999999999999996,294803.77050201839,0.29357622065152783,0.20000000000000001,0.59999999999999998,0.59999999999999998
180.0,1.8,0.80000000000000004,299012.45637565019,0.32323915869844816,0.20000000000000001,0.59999999999999998,0.59999999999999998
185.0,1.8,0.81666700000000003,302866.4537455528,0.30158277513748527,0.20000000000000001,0.59999999999999998,0.59999999999999998
190.0,1.8,0.83333299999999999,304396.50728519034,0.32678848185890408,0.20000000000000001,0.59999999999999998,0.59999999999999998
195.0,1.8,0.84999999999999998,313857.14451131353,0.29416361594527651,0.20000000000000001,0.59999999999999998,0.59999999999999998
200.0,1.8,0.86666699999999997,300233.77467614814,0.32476376734689516,0.20000000000000001,0.59999999999999998,0.59999999999999998
205.0,1.8,0.88333300000000003,297459.39705151448,0.29547795479048777,0.20000000000000001,0.59999999999999998,0.59999999999999998
210.0,1.8,0.90000000000000002,309676.45683839219,0.33680022747063321,0.20000000000000001,0.59999999999999998,0.59999999999999998
215.0,1.8,0.91666700000000001,309057.5772095134,0.27973248512374521,0.20000000000000001,0.59999999999999998,0.59999999999999998
220.0,1.8,0.93333299999999997,304175.02396076027,0.31230730582750144,0.20000000000000001,0.59999999999999998,0.59999999999999998
225.0,1.8,0.94999999999999996,297586.08300429018,0.30950911820265825,0.20000000000000001,0.59999999999999998,0.59999999999999998
230.0,1.8,0.96666700000000005,298358.71927006042,0.32594054635234598,0.20000000000000001,0.59999999999999998,0.59999999999999998
235.0,1.8,0.98333300000000001,300146.23247412441,0.34308713825425941,0.20000000000000001,0.59999999999999998,0.59999999999999998
240.0,1.8,1.0,312771.85476757039,0.32393302887367192,0.20000000000000001,0.59999999999999998,0.59999999999999998
245.0,1.8,1.01667,302092.97889252933,0.33854426982481228,0.20000000000000001,0.59999999999999998,0.59999999999999998
250.0,1.8,1.0333300000000001,302276.9427306627,0.33484658755962665,0.20000000000000001,0.59999999999999998,0.59999999999999998
